Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
420248,0.64,-0.43333,1.02E-10,-7.90E-11,-8.88E-09
418894,0.63875,-0.4408,1.16E-10,-4.82E-11,-9.25E-09
418893,0.63875,-0.42586,1.06E-10,-3.09E-11,-8.47E-09
418892,0.63625,-0.42586,1.46E-10,-1.58E-11,-8.48E-09
420253,0.6375,-0.41839,1.33E-10,-4.66E-11,-8.11E-09
420228,0.64,-0.58276,-4.42E-10,1.57E-09,-1.84E-08
418836,0.63875,-0.59023,-1.16E-09,3.07E-09,-2.38E-08
418835,0.63875,-0.57529,-1.17E-09,-1.50E-09,-2.52E-08
418834,0.63625,-0.57529,-1.30E-09,-1.09E-10,-2.67E-08
420233,0.6375,-0.56782,-5.83E-10,-1.61E-09,-2.12E-08
420208,0.64,-0.73218,-6.74E-11,1.62E-10,-5.93E-09
418670,0.63875,-0.73966,-5.43E-11,5.79E-11,-5.63E-09
418669,0.63875,-0.72471,-6.09E-11,1.04E-10,-6.20E-09
418668,0.63625,-0.72471,-8.57E-11,3.00E-11,-6.23E-09
420213,0.6375,-0.71724,-9.88E-11,1.34E-10,-6.53E-09
420188,0.64,-0.88161,-3.02E-11,1.94E-11,-2.41E-09
418644,0.63875,-0.88908,-2.97E-11,8.57E-12,-2.31E-09
418643,0.63875,-0.87414,-3.18E-11,1.08E-11,-2.50E-09
418642,0.63625,-0.87414,-4.50E-11,6.88E-12,-2.50E-09
420193,0.6375,-0.86667,-4.55E-11,1.77E-11,-2.60E-09
420168,0.64,-1.031,-1.64E-11,7.54E-12,-9.93E-10
418592,0.63875,-1.0385,-1.64E-11,3.66E-12,-9.47E-10
418591,0.63875,-1.0236,-1.73E-11,3.88E-12,-1.04E-09
418590,0.63625,-1.0236,-2.38E-11,2.99E-12,-1.04E-09
420173,0.6375,-1.0161,-2.37E-11,6.87E-12,-1.08E-09
420148,0.64,-1.1805,-9.72E-12,4.75E-12,-2.99E-10
418540,0.63875,-1.1879,-9.67E-12,2.31E-12,-2.76E-10
418539,0.63875,-1.173,-1.02E-11,2.44E-12,-3.21E-10
418538,0.63625,-1.173,-1.32E-11,1.44E-12,-3.22E-10
420153,0.6375,-1.1655,-1.32E-11,3.88E-12,-3.45E-10
420128,0.64,-1.3299,-6.19E-12,4.37E-12,5.20E-11
418486,0.63875,-1.3374,-6.07E-12,2.26E-12,6.41E-11
418485,0.63875,-1.3224,-6.31E-12,2.11E-12,4.28E-11
418484,0.63625,-1.3224,-7.54E-12,7.05E-13,4.27E-11
420133,0.6375,-1.3149,-7.66E-12,2.82E-12,3.06E-11
420048,0.64,-1.9276,-2.16E-12,3.20E-12,3.19E-10
418281,0.63875,-1.9351,-1.84E-12,1.42E-12,3.18E-10
418280,0.63875,-1.9201,-1.89E-12,1.79E-12,3.20E-10
418279,0.63625,-1.9201,-1.14E-12,-3.41E-14,3.20E-10
420053,0.6375,-1.9126,-1.45E-12,1.75E-12,3.21E-10
420028,0.64,-2.077,-1.94E-12,3.16E-12,2.93E-10
418230,0.63875,-2.0845,-1.60E-12,1.39E-12,2.91E-10
418229,0.63875,-2.0695,-1.64E-12,1.77E-12,2.94E-10
418228,0.63625,-2.0695,-8.05E-13,-5.64E-14,2.94E-10
420033,0.6375,-2.0621,-1.14E-12,1.71E-12,2.96E-10
419977,0.6375,-2.5103,-9.02E-13,2.78E-12,1.43E-10
418041,0.63625,-2.5178,-7.61E-13,1.40E-12,1.38E-10
418042,0.63875,-2.5178,-2.05E-12,3.52E-12,1.38E-10
420285,0.6375,-0.17931,3.28E-11,-7.48E-12,-1.90E-09
420280,0.64,-0.19425,2.82E-11,-1.26E-11,-2.10E-09
152565,0.6375,-0.19425,3.77E-11,-8.56E-12,-2.10E-09
421437,0.635,-0.19425,5.24E-11,-1.22E-11,-2.11E-09
420281,0.6375,-0.2092,4.78E-11,-1.73E-11,-2.31E-09
418926,0.63875,-0.38103,6.14E-11,-6.93E-12,-6.42E-09
420273,0.6375,-0.26897,5.37E-11,-1.45E-11,-3.35E-09
419984,0.6375,-2.4506,-1.83E-12,2.21E-12,1.70E-10
418056,0.63875,-2.4431,-2.35E-12,2.15E-12,1.73E-10
418057,0.63625,-2.4431,-1.30E-12,2.44E-12,1.74E-10
418441,0.63875,-1.4569,-4.54E-12,2.45E-12,2.11E-10
420113,0.6375,-1.4644,-4.74E-12,2.28E-12,2.17E-10
418442,0.63625,-1.4569,-4.81E-12,1.09E-12,2.11E-10
418332,0.63875,-1.7557,-2.70E-12,2.52E-12,3.27E-10
420073,0.6375,-1.7632,-2.09E-12,1.88E-12,3.27E-10
418333,0.63625,-1.7557,-2.08E-12,1.01E-12,3.27E-10
418091,0.63875,-2.204,-1.90E-12,2.78E-12,2.61E-10
420013,0.6375,-2.2115,-1.01E-12,1.93E-12,2.58E-10
418092,0.63625,-2.204,-9.32E-13,1.08E-12,2.61E-10
418043,0.63875,-2.5328,-1.41E-12,3.18E-12,1.29E-10
419973,0.6375,-2.5402,-7.15E-13,3.29E-12,1.21E-10
418044,0.63625,-2.5328,-1.21E-12,2.26E-12,1.26E-10
421350,0.635,-2.5253,-6.35E-14,1.52E-12,1.30E-10
420093,0.6375,-1.6138,-2.98E-12,2.48E-12,3.03E-10
419989,0.6375,-2.3908,-1.17E-12,2.84E-12,1.99E-10
418051,0.63875,-2.458,-2.26E-12,2.19E-12,1.66E-10
418050,0.63625,-2.458,-1.22E-12,2.48E-12,1.67E-10
418063,0.63875,-2.3385,-1.97E-12,2.48E-12,2.19E-10
418062,0.63625,-2.3385,-1.26E-12,1.53E-12,2.19E-10
419997,0.6375,-2.331,-1.07E-12,2.26E-12,2.21E-10
418076,0.63875,-2.3086,-1.99E-12,2.38E-12,2.29E-10
418075,0.63625,-2.3086,-1.31E-12,1.46E-12,2.29E-10
420001,0.6375,-2.3011,-1.10E-12,2.21E-12,2.31E-10
418080,0.63875,-2.2787,-2.06E-12,2.75E-12,2.39E-10
418079,0.63625,-2.2787,-1.34E-12,1.09E-12,2.38E-10
420005,0.6375,-2.2713,-1.18E-12,2.23E-12,2.40E-10
420009,0.6375,-2.2414,-1.14E-12,2.02E-12,2.51E-10
418094,0.63875,-2.219,-2.11E-12,2.57E-12,2.56E-10
418093,0.63625,-2.219,-1.15E-12,8.73E-13,2.56E-10
420029,0.6375,-2.092,-1.58E-12,1.60E-12,2.90E-10
418104,0.63875,-2.1592,-2.09E-12,2.25E-12,2.73E-10
418103,0.63625,-2.1592,-1.52E-12,1.39E-12,2.74E-10
420021,0.6375,-2.1517,-1.35E-12,2.13E-12,2.75E-10
418108,0.63875,-2.1293,-2.22E-12,2.61E-12,2.80E-10
