Node Number,X Location (m),Y Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
426138,0.572,0,-2.2354,-2.70E-11,-3.18E-13,6.15E-12
426141,0.5745,0,-2.25,-2.58E-11,-2.99E-13,5.70E-12
426413,0.5745,0,-2.2354,-2.66E-11,-2.75E-13,5.77E-12
445050,0.71855,0,-2.3655,-7.40E-13,1.38E-14,-5.24E-14
443699,0.72317,0,-0.45449,1.68E-12,-3.26E-14,1.32E-15
443695,0.73163,0,-0.44833,1.75E-12,-5.71E-14,-3.30E-16
444637,0.73821,0,-0.4612,1.77E-12,-6.60E-14,2.77E-16
444626,0.74333,0,-0.53148,1.82E-12,-6.31E-14,-1.54E-14
444609,0.7383,0,-0.73037,1.75E-12,-4.35E-14,2.36E-14
443727,0.73369,0,-0.71698,1.73E-12,-3.57E-14,2.08E-14
443732,0.72532,0,-0.72308,1.68E-12,-2.86E-14,1.45E-14
443731,0.73199,0,-0.70467,1.74E-12,-4.68E-14,1.88E-14
444608,0.74497,0,-0.71196,1.81E-12,-6.17E-14,2.78E-14
444935,0.70112,0,-0.93641,1.62E-12,-7.74E-15,-3.39E-14
447313,0.7019,0,-0.22655,1.66E-12,-8.64E-15,4.06E-14
443740,0.72521,0,-0.78161,1.66E-12,-2.86E-14,-5.83E-15
446292,0.73649,0,-0.7766,1.72E-12,-3.98E-14,-5.84E-15
447413,0.70091,0,-0.58452,1.65E-12,-1.26E-14,1.57E-15
446333,0.70366,0,-0.59751,1.65E-12,-1.18E-14,1.92E-15
443949,0.55675,0,-2.6075,-5.00E-12,-4.59E-14,2.27E-12
443951,0.57099,0,-2.6105,-4.79E-12,-3.92E-14,1.82E-12
444432,0.56277,0,-2.6252,-4.28E-12,-2.08E-15,2.10E-12
444050,0.67717,0,-2.649,-1.39E-12,2.53E-14,2.73E-13
444049,0.66342,0,-2.6589,-1.48E-12,4.39E-14,5.36E-13
444736,0.68057,0,-2.6638,-1.25E-12,4.46E-14,5.86E-13
444739,0.67987,0,-2.6792,-1.17E-12,7.48E-14,8.45E-13
445573,0.69362,0,-2.6693,-1.08E-12,5.62E-14,5.81E-13
443921,0.7344,0,-2.5107,-8.01E-13,2.67E-14,-4.76E-14
444155,0.73392,0,-2.528,-8.06E-13,2.67E-14,-5.72E-14
444153,0.73286,0,-2.5474,-8.19E-13,2.64E-14,-5.34E-14
444444,0.73842,0,-2.4351,-7.83E-13,1.51E-14,-4.13E-14
443916,0.72572,0,-2.4276,-7.52E-13,9.92E-15,-4.44E-14
443897,0.72571,0,-2.2485,-7.26E-13,1.01E-14,-7.35E-14
443892,0.73409,0,-2.2426,-7.43E-13,1.16E-14,-6.85E-14
444466,0.73829,0,-2.2559,-7.53E-13,1.44E-14,-6.33E-14
445957,0.71232,0,-2.2936,-7.37E-13,1.03E-14,-6.41E-14
444458,0.73829,0,-2.3456,-7.73E-13,1.43E-14,-5.65E-14
444474,0.73829,0,-2.1661,-7.03E-13,1.20E-14,-9.90E-14
443877,0.73213,0,-2.0507,-6.01E-13,1.03E-14,-1.68E-13
